numOrgs,numPeers,numVerifiers,controller,sendRate,maxLatency,minLatency,avgLatency,tps
2,3,2,fix-rate#700,302.2,0.06,0.01,0.01,302.1
2,3,3,fix-rate#700,283.8,0.06,0.01,0.02,283.6
2,3,4,fix-rate#700,263.3,0.08,0.01,0.02,268.1
2,3,5,fix-rate#700,262.0,0.14,0.02,0.03,261.3
2,3,6,fix-rate#600,254.1,0.05,0.02,0.03,253.8
4,3,2,fix-rate#700,294.4,0.08,0.01,0.01,294.2
4,3,3,fix-rate#700,292.3,0.04,0.01,0.02,291.8
4,3,4,fix-rate#700,286.5,0.08,0.01,0.02,286.2
4,3,5,fix-rate#700,273.6,0.05,0.02,0.03,273.1
4,3,6,fix-rate#700,267.6,0.27,0.01,0.04,267.1
6,3,2,fix-rate#700,283.5,0.07,0.01,0.01,283.3
6,3,3,fix-rate#700,276.1,0.04,0.01,0.02,275.9
6,3,4,fix-rate#700,272.7,0.04,0.01,0.02,272.3
6,3,5,fix-rate#700,258.4,0.14,0.02,0.04,257.8
6,3,6,fix-rate#700,249.5,0.25,0.02,0.05,248.8
8,3,2,fix-rate#700,283.8,0.08,0.01,0.01,283.6
8,3,3,fix-rate#700,276.9,0.03,0.01,0.01,276.7
8,3,4,fix-rate#700,268.7,0.05,0.01,0.02,268.5
8,3,5,fix-rate#700,259.6,0.10,0.01,0.02,259.3
8,3,6,fix-rate#700,250.6,0.06,0.02,0.03,250.4
10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,281.7
10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,275.6
10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,265.4
10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,254.0
10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,238.0