contract,numOrgs,numPeers,controller,sendRate,maxLatency,minLatency,avgLatency,tps
SC_Initialization,2,1,fix-rate#300,161.1,1.02,0.06,0.14,142.9
SC_Initialization,4,1,fix-rate#300,122.5,2.19,0.08,0.28,99.1
SC_Initialization,6,1,fix-rate#475,95.7,1.93,0.12,0.62,72.2
SC_Initialization,8,1,fix-rate#475,96.1,4.06,0.16,1.89,63.8
SC_Initialization,10,1,fix-rate#475,76.4,5.08,0.26,2.65,46.1
SC_Initialization,2,2,fix-rate#450,145.3,0.29,0.07,0.15,142.2
SC_Initialization,4,2,fix-rate#450,112.9,1.02,0.08,0.50,93.9
SC_Initialization,6,2,fix-rate#475,99.3,2.54,0.11,0.74,71.4
SC_Initialization,8,2,fix-rate#475,91.6,6.15,0.15,2.36,60.7
SC_Initialization,10,2,fix-rate#400,89.6,7.05,0.24,2.93,42.3
SC_Initialization,2,3,fix-rate#450,147.7,0.32,0.06,0.23,145.0
SC_Initialization,4,3,fix-rate#450,111.2,1.56,0.08,0.63,88.7
SC_Initialization,6,3,fix-rate#475,102.0,3.08,0.13,1.10,70.9
SC_Initialization,8,3,fix-rate#475,77.9,2.43,0.21,2.97,59.8
SC_Initialization,10,3,fix-rate#400,86.5,11.93,1.01,3.49,30.8
SC_Witness_Token_Generation,10,3,fix-rate#700,248.5,0.06,0.01,0.02,248.3
SC_Campaign_Token_Generation,10,3,fix-rate#700,248.5,0.04,0.01,0.02,238.3
SC_Token_Collection,10,3,fix-rate#50,305.9,0.04,0.01,0.01,305.7




contract,numOrgs,numPeers,numVerifiers,controller,sendRate,maxLatency,minLatency,avgLatency,tps
SC_Witness_Token_Generation,10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,281.7
SC_Witness_Token_Generation,10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,275.6
SC_Witness_Token_Generation,10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,265.4
SC_Witness_Token_Generation,10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,254.0
SC_Witness_Token_Generation,10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,238.0
SC_Campaign_Token_Generation,10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,283.7
SC_Campaign_Token_Generation,10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,277.6
SC_Campaign_Token_Generation,10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,266.4
SC_Campaign_Token_Generation,10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,255.0
SC_Campaign_Token_Generation,10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,240.0
SC_Token_Collection,10,3,2,fix-rate#50,49.5,90.82,0.99,30.63,29.8
SC_Token_Collection,10,3,3,fix-rate#50,40.0,62.27,0.18,38.77,26.3
SC_Token_Collection,10,3,4,fix-rate#50,24.7,74.83,0.61,42.77,23.4
SC_Token_Collection,10,3,5,fix-rate#50,26.1,78.36,10.71,44.74,22.7
SC_Token_Collection,10,3,6,fix-rate#50,22.1,81.36,15.71,48.23,20.1
SC_Initialization,10,3,2,fix-rate#150-200,86.5,11.93,1.01,7.49,30.8
SC_Initialization,10,3,3,fix-rate#150-200,77.1,14.57,0.53,10.31,27.0
SC_Initialization,10,3,4,fix-rate#150-200,79.6,21.03,0.48,14.63,25.3
SC_Initialization,10,3,5,fix-rate#150-200,70.4,29.67,0.70,17.76,21.1
SC_Initialization,10,3,6,fix-rate#150-200,77.3,21.55,0.56,19.20,19.3